sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3 param4 val4 param5 val5
98 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 9 fire_size_x 2121.32 fire_size_y 3535.534
99 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 10 fire_size_x 2121.32 fire_size_y 3535.534
100 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 11 fire_size_x 2121.32 fire_size_y 3535.534
101 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 12 fire_size_x 2121.32 fire_size_y 3535.534
102 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 13 fire_size_x 2121.32 fire_size_y 3535.534
103 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 14 fire_size_x 2121.32 fire_size_y 3535.534
104 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 15 fire_size_x 2121.32 fire_size_y 3535.534
105 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 16 fire_size_x 2121.32 fire_size_y 3535.534
106 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 17 fire_size_x 2121.32 fire_size_y 3535.534
107 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 18 fire_size_x 2121.32 fire_size_y 3535.534
108 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 19 fire_size_x 2121.32 fire_size_y 3535.534
109 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 20 fire_size_x 2121.32 fire_size_y 3535.534
110 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 21 fire_size_x 2121.32 fire_size_y 3535.534
111 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 22 fire_size_x 2121.32 fire_size_y 3535.534
112 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 23 fire_size_x 2121.32 fire_size_y 3535.534
113 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 24 fire_size_x 2121.32 fire_size_y 3535.534
114 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 25 fire_size_x 2121.32 fire_size_y 3535.534
115 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 26 fire_size_x 2121.32 fire_size_y 3535.534
116 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 27 fire_size_x 2121.32 fire_size_y 3535.534
117 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 28 fire_size_x 2121.32 fire_size_y 3535.534
118 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 29 fire_size_x 2121.32 fire_size_y 3535.534
119 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 30 fire_size_x 2121.32 fire_size_y 3535.534
120 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 31 fire_size_x 2121.32 fire_size_y 3535.534
